t,j1,j2,j3
1770814465.7089663,0.0,0.0,0.0
1770814465.759028,0.0,0.0,0.0
1770814465.8090901,0.0,0.0,0.0
1770814465.8591802,0.0,0.0,0.0
1770814465.909273,0.0,0.0,0.0
1770814465.9593637,0.0,0.0,0.0
1770814466.0094566,0.0,0.0,0.0
1770814466.0594764,0.0,0.0,0.0
1770814466.1095364,0.0,0.0,0.0
1770814466.1595979,0.0,0.0,0.0
1770814466.209659,0.0,0.0,0.0
1770814466.2597299,0.0,0.0,0.0
1770814466.3097901,0.0,0.0,0.0
1770814466.3598511,0.0,0.0,0.0
1770814466.4099112,0.0,0.0,0.0
1770814466.4599736,0.0,0.0,0.0
1770814466.5100653,0.0,0.0,0.0
1770814466.5601566,0.0,0.0,0.0
1770814466.6102493,0.0,0.0,0.0
1770814466.6603403,0.0,0.0,0.0
1770814466.7104473,0.0,0.0,0.0
1770814466.7604823,0.0,0.0,0.0
1770814466.8105452,0.0,0.0,0.0
1770814466.8606071,0.0,0.0,0.0
1770814466.9107022,0.0,0.0,0.0
1770814466.9607637,0.0,0.0,0.0
1770814467.0108259,0.0,0.0,0.0
1770814467.060889,0.0,0.0,0.0
1770814467.1109605,0.0,0.0,0.0
1770814467.161056,0.0,0.0,0.0
1770814467.2111506,0.0,0.0,0.0
1770814467.2612436,0.0,0.0,0.0
1770814467.3113112,0.0,0.0,0.0
1770814467.3613713,0.0,0.0,0.0
1770814467.4114668,0.0,0.0,0.0
1770814467.4615295,0.0,0.0,0.0
1770814467.5115929,0.0,0.0,0.0
1770814467.5616546,0.0,0.0,0.0
1770814467.6117163,0.0,0.0,0.0
1770814467.6618106,0.0,0.0,0.0
1770814467.7119126,0.0,0.0,0.0
1770814467.7619758,0.0,0.0,0.0
1770814467.81208,0.0,0.0,0.0
1770814467.8621747,0.0,0.0,0.0
1770814467.9122434,0.0,0.0,0.0
1770814467.9623084,0.0,0.0,0.0
1770814468.0123866,0.0,0.0,0.0
1770814468.0624843,0.0,0.0,0.0
1770814468.1125774,0.0,0.0,0.0
1770814468.162639,0.0,0.0,0.0
1770814468.2127082,0.0,0.0,0.0
1770814468.2628021,0.0,0.0,0.0
1770814468.3128638,0.0,0.0,0.0
1770814468.3629293,0.0,0.0,0.0
1770814468.4129913,0.0,0.0,0.0
1770814468.4630828,0.0,0.0,0.0
1770814468.5131752,0.0,0.0,0.0
1770814468.563267,0.0,0.0,0.0
1770814468.6133602,0.0,0.0,0.0
1770814468.66346,0.0,0.0,0.0
1770814468.713533,0.0,0.0,0.0
1770814468.7635937,0.0,0.0,0.0
1770814468.8136852,0.0,0.0,0.0
1770814468.8637836,0.0,0.0,0.0
1770814468.9138484,0.0,0.0,0.0
1770814468.963912,0.0,0.0,0.0
1770814469.0140069,0.0,0.0,0.0
1770814469.064101,0.0,0.0,0.0
1770814469.1141906,0.0,0.0,0.0
1770814469.164285,0.0,0.0,0.0
1770814469.2143753,0.0,0.0,0.0
1770814469.2644885,0.0,0.0,0.0
1770814469.3145564,0.0,0.0,0.0
1770814469.3646238,0.0,0.0,0.0
